Title,Price,Discount,Original_Price,Date
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
"Samsung 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, VGA","8,155.00",-23%,"10,620.00",2023-09-01
